,0,1,2,3,4,5
0,18,25,14,19,3,2
1,35,41,14,18,13,7
2,20,39,10,11,4,2
3,27,45,21,24,7,5
4,15,28,18,16,10,4
5,31,40,26,18,10,5
6,25,50,7,6,1,4
7,32,61,21,19,15,10
8,20,38,17,1,8,1
9,31,38,31,13,9,8
10,21,44,6,13,0,4
11,33,59,16,18,4,8
12,23,32,15,23,13,2
13,28,40,28,23,14,5
14,31,47,6,29,0,4
15,40,56,21,37,10,6
16,21,37,19,10,8,4
17,29,45,29,21,16,10
18,29,40,21,19,1,4
19,35,61,34,14,3,10
20,19,39,33,4,7,2
21,27,48,41,12,5,13
22,35,41,31,23,1,1
23,43,70,13,7,9,2
24,19,46,22,5,9,4
25,25,61,33,23,5,10
26,20,31,36,11,3,1
27,33,51,47,28,12,6
28,21,42,16,14,9,0
29,34,69,17,16,7,4
30,26,38,16,15,0,2
31,32,44,31,3,10,5
32,24,42,8,10,9,3
33,32,49,18,15,11,6
34,24,28,19,15,0,3
