,0,1,2,3,4,5
0,13,33,15,10,7,2
1,21,25,23,4,3,3
2,24,26,22,7,6,1
3,24,24,18,19,11,5
4,19,17,22,19,17,1
5,22,22,15,5,21,5
6,29,32,13,0,9,2
7,27,28,20,11,3,4
8,20,22,22,23,6,4
9,19,21,20,17,10,7
10,19,31,14,26,7,2
11,19,33,11,20,3,3
12,20,31,19,12,7,3
13,19,32,28,16,9,5
14,22,46,14,16,6,4
15,24,46,15,9,7,6
16,29,36,19,14,7,1
17,23,31,26,27,7,5
18,24,26,33,39,4,4
19,29,30,29,37,4,8
20,33,33,19,15,5,3
21,32,41,25,6,9,3
22,38,45,18,12,1,0
23,29,46,14,12,4,0
24,31,41,22,20,4,5
25,28,30,29,31,2,5
26,31,33,17,25,5,3
27,35,34,13,29,8,6
28,32,23,23,25,8,3
29,33,20,28,13,8,4
30,28,30,14,16,8,1
31,27,29,19,27,0,6
32,28,29,22,23,0,2
33,29,26,30,15,1,4
34,29,43,9,23,3,2
