,0,1,2,3,4,5,6
0,19,37,10,21,7,2,0
1,16,27,17,22,11,5,5
2,22,37,18,0,9,2,1
3,13,29,27,6,11,3,6
4,26,39,14,14,2,2,5
5,21,35,15,27,2,5,6
6,30,42,9,27,6,4,5
7,28,38,14,28,9,6,5
8,34,41,19,23,10,3,3
9,28,47,25,11,12,6,3
10,34,37,32,19,9,0,0
11,24,30,38,19,9,3,6
12,36,34,28,19,5,3,3
13,35,46,15,19,8,7,3
14,34,41,23,19,12,2,1
15,29,35,31,21,14,4,4
16,34,46,19,27,11,1,3
17,26,51,11,29,13,4,5
18,27,46,19,43,16,3,3
19,23,36,27,44,19,5,4
20,32,40,21,55,11,3,0
21,31,42,14,66,4,6,4
22,42,36,23,69,3,2,0
23,32,39,15,72,6,4,2
24,38,39,24,73,9,2,0
25,30,53,33,41,11,5,3
26,42,62,38,14,11,2,0
27,33,61,46,15,11,4,2
28,33,56,55,23,13,2,0
29,25,52,65,25,14,3,6
30,36,46,74,25,7,3,1
31,32,42,83,26,9,5,3
32,39,46,81,29,6,2,1
33,31,60,61,30,9,3,2
34,33,77,43,31,10,2,0
