,0,1,2,3,4,5
0,11,15,6,2,3,2
1,10,10,8,0,0,1
2,10,15,8,7,6,1
3,11,9,7,12,5,4
4,7,9,7,0,6,1
5,10,13,8,1,4,4
6,12,15,6,0,0,2
7,8,13,7,11,3,2
8,9,10,9,12,3,4
9,10,11,8,0,4,3
10,10,12,5,14,3,2
11,9,17,6,2,0,1
12,8,15,8,5,4,3
13,11,17,9,11,2,2
14,12,17,7,0,3,4
15,12,15,8,1,4,2
16,9,10,4,14,0,1
17,14,15,7,13,0,4
18,10,15,7,12,4,4
19,11,15,7,8,0,4
20,12,11,5,0,1,3
21,14,19,6,3,4,0
22,14,15,7,6,0,0
23,12,12,7,0,4,0
24,14,15,8,14,0,5
25,9,9,7,11,2,0
26,15,9,6,0,3,3
27,15,12,7,14,5,3
28,12,9,10,2,0,3
29,11,9,5,11,0,1
30,14,14,6,3,0,1
31,8,15,8,11,0,5
32,15,10,8,14,0,2
33,13,16,8,1,1,2
34,10,17,7,8,2,2
