,0,1,2,3,4,5,6
0,10,9,6,0,1,1,3
1,8,15,5,8,6,1,4
2,8,15,7,0,4,1,5
3,12,13,6,0,2,1,3
4,11,15,9,3,6,1,6
5,13,14,7,2,3,1,2
6,11,9,6,6,1,4,5
7,12,13,4,1,6,0,6
8,10,15,4,0,2,3,6
9,10,13,6,3,2,2,4
10,12,12,9,0,1,1,6
11,10,10,8,4,4,1,5
12,11,15,8,8,3,2,5
13,6,18,6,1,2,3,3
14,12,13,6,8,0,1,6
15,11,13,9,0,3,2,5
16,11,10,5,5,2,2,2
17,14,15,7,8,0,3,2
18,12,13,8,5,0,3,6
19,10,13,6,10,3,2,2
20,13,13,8,9,2,2,6
21,14,17,6,0,2,3,2
22,12,10,9,2,3,5,5
23,11,14,5,10,1,2,4
24,12,17,5,0,0,3,3
25,13,12,7,2,3,2,5
26,12,15,9,8,0,2,6
27,12,15,5,14,0,2,6
28,13,15,6,1,0,2,6
29,10,10,7,11,0,3,3
30,12,17,7,13,3,3,5
31,11,15,7,7,3,1,6
32,12,13,8,2,0,4,4
33,10,11,6,4,4,0,6
34,15,9,9,1,1,4,5
