Weeks in the Past ,B15,C17,D20,D25,E26,F35
1,5,12,2,11,4,2
2,10,14,3,2,3,1
3,8,15,4,3,5,3
4,7,12,5,6,4,2
5,9,15,4,0,3,3
6,6,12,6,8,6,1
7,7,15,5,0,5,2
8,8,17,2,3,2,5
9,6,16,3,12,5,1
10,5,13,5,8,3,3
11,8,14,4,2,6,2
12,5,10,3,0,3,3
13,7,11,5,11,4,4
14,5,16,3,0,5,1
15,6,13,4,12,3,2
16,9,9,3,1,6,2
17,6,15,3,3,7,0
18,7,17,6,3,5,4
19,3,10,4,10,7,3
20,5,17,3,1,3,5
21,1,14,2,7,5,2
22,5,9,5,0,2,4
23,5,15,2,11,9,3
24,6,17,3,4,8,2
25,5,10,4,9,4,3
26,7,16,5,0,3,1
27,5,17,1,3,7,4
28,2,15,3,1,5,0
29,3,18,2,11,7,1
30,2,9,3,1,8,3
31,3,13,4,14,3,2
32,7,15,5,0,5,1
33,4,16,1,1,3,4
34,5,19,3,13,7,3
35,0,14,4,0,9,1
36,7,11,2,2,5,5
37,6,17,0,6,4,3
38,3,11,2,5,5,0
39,5,12,0,10,6,1
40,3,15,4,1,8,3
41,3,12,2,6,8,2
42,2,19,1,0,5,2
43,5,14,3,8,7,1
44,4,13,0,3,10,3
45,3,15,3,2,5,4
46,3,16,1,1,8,1
47,4,10,2,9,6,2
48,1,12,0,11,9,1
49,5,15,1,0,7,3
50,2,14,3,8,8,4
