[0, 0, 0, 0, 0, 0, 0]
[10, 14, 2, 0, 0, 5, 0]
[2, 18, 0, 6, 4, 0, 0]
[7, 14, 9, 4, 3, 3, 0]
[11, 11, 11, 0, 0, 0, 0]
[12, 16, 3, 0, 0, 5, 0]
[7, 8, 15, 15, 0, 0, 0]
[5, 5, 8, 5, 12, 5, 0]
[10, 17, 0, 0, 9, 0, 0]
[16, 16, 7, 0, 0, 4, 0]
[11, 12, 10, 6, 0, 0, 0]
[10, 2, 11, 5, 6, 7, 0]
[9, 15, 9, 8, 4, 0, 0]
[7, 17, 0, 13, 0, 3, 0]
[12, 16, 0, 7, 0, 0, 0]
[9, 3, 21, 0, 6, 5, 0]
[10, 15, 7, 8, 3, 0, 0]
[4, 20, 0, 9, 0, 6, 0]
[20, 20, 0, 0, 0, 0, 0]
[9, 20, 0, 0, 7, 5, 0]
[6, 11, 11, 10, 0, 0, 0]
[8, 8, 15, 22, 0, 8, 0]
[15, 11, 0, 12, 0, 0, 0]
[8, 11, 14, 0, 8, 3, 0]
[21, 11, 11, 0, 1, 0, 0]
[12, 20, 0, 6, 0, 0, 0]
[12, 20, 0, 0, 4, 0, 0]
[12, 6, 18, 6, 0, 5, 0]
[11, 11, 11, 10, 2, 0, 0]
[15, 20, 0, 6, 0, 6, 0]
[10, 12, 0, 23, 0, 0, 0]
[19, 4, 20, 0, 0, 4, 0]
[9, 16, 3, 0, 8, 0, 0]
[14, 10, 5, 18, 0, 6, 0]
[12, 19, 0, 9, 0, 0, 0]
[10, 0, 28, 0, 0, 4, 0]
